@20230813_2136 @20230813_2136 [EP 1/250] lr: 9.97904353425838e-05, took: 112.36s (avg: 112.36s), ETA: 0d:7h:44m:48s [TRAIN] loss: 33280.1758, iou: 0.0036, f1: 0.0071 [EVAL] loss: 36232.3867, iou: 0.0028, f1: 0.0056
@20230813_2137 @20230813_2137 [EP 2/250] lr: 9.958076407201588e-05, took: 61.69s (avg: 61.69s), ETA: 0d:4h:12m:8s [TRAIN] loss: 6701.0649, iou: 0.0068, f1: 0.0132 [EVAL] loss: 7398.1997, iou: 0.0029, f1: 0.0059
@20230813_2139 @20230813_2139 [EP 3/250] lr: 9.937196591636166e-05, took: 61.47s (avg: 61.47s), ETA: 0d:4h:11m:7s [TRAIN] loss: 4260.8682, iou: 0.0366, f1: 0.0683 [EVAL] loss: 7222.3672, iou: 0.0138, f1: 0.0271
@20230813_2140 @20230813_2140 [EP 4/250] lr: 9.916404087562114e-05, took: 61.61s (avg: 61.61s), ETA: 0d:4h:10m:6s [TRAIN] loss: 2541.7261, iou: 0.0784, f1: 0.1416 [EVAL] loss: 3339.7290, iou: 0.0606, f1: 0.1138
@20230813_2141 @20230813_2141 [EP 5/250] lr: 9.895698894979432e-05, took: 61.68s (avg: 61.68s), ETA: 0d:4h:9m:5s [TRAIN] loss: 1835.1821, iou: 0.1065, f1: 0.1879 [EVAL] loss: 5891.9502, iou: 0.0810, f1: 0.1490
@20230813_2143 @20230813_2143 [EP 6/250] lr: 9.875079558696598e-05, took: 61.65s (avg: 61.65s), ETA: 0d:4h:8m:4s [TRAIN] loss: 1489.9760, iou: 0.1337, f1: 0.2301 [EVAL] loss: 8286.1289, iou: 0.1048, f1: 0.1883
@20230813_2144 @20230813_2144 [EP 7/250] lr: 9.854546806309372e-05, took: 61.67s (avg: 61.67s), ETA: 0d:4h:7m:3s [TRAIN] loss: 1270.1671, iou: 0.1563, f1: 0.2639 [EVAL] loss: 3815.2659, iou: 0.1298, f1: 0.2286
@20230813_2145 @20230813_2145 [EP 8/250] lr: 9.834098455030471e-05, took: 61.63s (avg: 61.63s), ETA: 0d:4h:6m:2s [TRAIN] loss: 1170.2190, iou: 0.1739, f1: 0.2896 [EVAL] loss: 2321.2297, iou: 0.1678, f1: 0.2860
@20230813_2146 @20230813_2146 [EP 9/250] lr: 9.813734504859895e-05, took: 61.53s (avg: 61.53s), ETA: 0d:4h:5m:1s [TRAIN] loss: 1097.6774, iou: 0.1897, f1: 0.3121 [EVAL] loss: 5198.5610, iou: 0.1382, f1: 0.2411
@20230813_2148 @20230813_2148 [EP 10/250] lr: 9.793455683393404e-05, took: 61.57s (avg: 61.57s), ETA: 0d:4h:4m:0s [TRAIN] loss: 995.0159, iou: 0.2078, f1: 0.3369 [EVAL] loss: 11058.7666, iou: 0.1750, f1: 0.2934
@20230813_2149 @20230813_2149 [EP 11/250] lr: 9.773259807843715e-05, took: 61.55s (avg: 61.55s), ETA: 0d:4h:2m:59s [TRAIN] loss: 956.5858, iou: 0.2214, f1: 0.3551 [EVAL] loss: 5702.7314, iou: 0.1733, f1: 0.2923
@20230813_2150 @20230813_2150 [EP 12/250] lr: 9.753146878210828e-05, took: 61.60s (avg: 61.60s), ETA: 0d:4h:1m:58s [TRAIN] loss: 890.1262, iou: 0.2380, f1: 0.3769 [EVAL] loss: 3689.4353, iou: 0.2323, f1: 0.3746
@20230813_2151 @20230813_2151 [EP 13/250] lr: 9.733116894494742e-05, took: 61.58s (avg: 61.58s), ETA: 0d:4h:0m:57s [TRAIN] loss: 893.0547, iou: 0.2484, f1: 0.3907 [EVAL] loss: 1691.6058, iou: 0.2229, f1: 0.3626
