

** [alpha] Launch Training on 20230813_1237 HPO desc: alpha_0.5_lambda_weight_0.2
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": false,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 250,
  "resume": false,
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "early_stop": false,
  "lr_scheduling": "exp",
  "lr": 0.0001,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "hpo_params": [
    "alpha",
    "lambda_weight"
  ],
  "lambda_weight": [
    0.1,
    0.2,
    0.33
  ],
  "alpha": [
    0.25,
    0.5,
    0.75
  ],
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* HPO test\n*   20230811: \n*   20230812: init lr -> 0.0001\n",
  "numGPUs": 4,
  "finalEPOCH": 250,
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_HPO.yaml",
  "numTrainDB": 11830,
  "numEvalDB": 3600,
  "numTrainSteps": 211,
  "numEvalSteps": 64,
  "train": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "eval": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "dbg_file_logging": "dbg_file_logging",
  "log_file": "<_io.TextIOWrapper name='logs/hpo_history_log/20230812_1837/hpo_log_DLV3+_ResNet50_alpha_0.5_lambda_weight_0.2.txt' mode='w' encoding='UTF-8'>",
  "github_logging": "github_logging",
  "github_log_file": "logs/hpo/DLV3+_ResNet50_alpha_0.5_lambda_weight_0.1.txt"
}
@20230813_1239 @20230813_1239 [EP 1/250] lr: 9.97904353425838e-05, took: 109.99s (avg: 109.99s), ETA: 0d:7h:32m:21s [TRAIN] loss: 22898.8320, iou: 0.0042, f1: 0.0082 [EVAL] loss: 14827.8799, iou: 0.0028, f1: 0.0055
@20230813_1240 @20230813_1240 [EP 2/250] lr: 9.958076407201588e-05, took: 61.45s (avg: 61.45s), ETA: 0d:4h:12m:8s [TRAIN] loss: 5092.4229, iou: 0.0135, f1: 0.0251 [EVAL] loss: 5989.2354, iou: 0.0031, f1: 0.0062
@20230813_1242 @20230813_1242 [EP 3/250] lr: 9.937196591636166e-05, took: 61.42s (avg: 61.42s), ETA: 0d:4h:11m:7s [TRAIN] loss: 3200.0095, iou: 0.0490, f1: 0.0896 [EVAL] loss: 4478.0498, iou: 0.0248, f1: 0.0476
@20230813_1243 @20230813_1243 [EP 4/250] lr: 9.916404087562114e-05, took: 61.44s (avg: 61.44s), ETA: 0d:4h:10m:6s [TRAIN] loss: 1894.9546, iou: 0.0947, f1: 0.1684 [EVAL] loss: 2495.5413, iou: 0.0648, f1: 0.1199
@20230813_1244 @20230813_1244 [EP 5/250] lr: 9.895698894979432e-05, took: 61.48s (avg: 61.48s), ETA: 0d:4h:9m:5s [TRAIN] loss: 1406.1193, iou: 0.1277, f1: 0.2208 [EVAL] loss: 2392.2739, iou: 0.0833, f1: 0.1514
@20230813_1245 @20230813_1245 [EP 6/250] lr: 9.875079558696598e-05, took: 61.51s (avg: 61.51s), ETA: 0d:4h:8m:4s [TRAIN] loss: 1198.0631, iou: 0.1510, f1: 0.2563 [EVAL] loss: 3467.1587, iou: 0.0662, f1: 0.1228
@20230813_1246 @20230813_1246 [EP 7/250] lr: 9.854546806309372e-05, took: 61.53s (avg: 61.53s), ETA: 0d:4h:7m:3s [TRAIN] loss: 1056.2617, iou: 0.1725, f1: 0.2877 [EVAL] loss: 2432.1741, iou: 0.0969, f1: 0.1747
@20230813_1248 @20230813_1248 [EP 8/250] lr: 9.834098455030471e-05, took: 61.59s (avg: 61.59s), ETA: 0d:4h:6m:2s [TRAIN] loss: 1017.4319, iou: 0.1853, f1: 0.3060 [EVAL] loss: 1501.5817, iou: 0.1403, f1: 0.2434
@20230813_1249 @20230813_1249 [EP 9/250] lr: 9.813734504859895e-05, took: 61.48s (avg: 61.48s), ETA: 0d:4h:5m:1s [TRAIN] loss: 912.5118, iou: 0.2064, f1: 0.3352 [EVAL] loss: 2735.7734, iou: 0.0843, f1: 0.1531
@20230813_1250 @20230813_1250 [EP 10/250] lr: 9.793455683393404e-05, took: 61.49s (avg: 61.49s), ETA: 0d:4h:4m:0s [TRAIN] loss: 871.5317, iou: 0.2196, f1: 0.3532 [EVAL] loss: 1339.0956, iou: 0.1565, f1: 0.2685
@20230813_1251 @20230813_1251 [EP 11/250] lr: 9.773259807843715e-05, took: 61.50s (avg: 61.50s), ETA: 0d:4h:2m:59s [TRAIN] loss: 807.4746, iou: 0.2365, f1: 0.3753 [EVAL] loss: 1374.5651, iou: 0.2297, f1: 0.3716
