

** [alpha] Launch Training on 20230814_0205 HPO desc: alpha_0.75_lambda_weight_0.2
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": false,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 250,
  "resume": false,
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "early_stop": false,
  "lr_scheduling": "exp",
  "lr": 0.0001,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "hpo_params": [
    "alpha",
    "lambda_weight"
  ],
  "lambda_weight": [
    0.1,
    0.2,
    0.33
  ],
  "alpha": [
    0.25,
    0.5,
    0.75
  ],
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* HPO test\n*   20230811: \n*   20230812: init lr -> 0.0001\n",
  "numGPUs": 4,
  "finalEPOCH": 250,
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_HPO.yaml",
  "numTrainDB": 11830,
  "numEvalDB": 3600,
  "numTrainSteps": 211,
  "numEvalSteps": 64,
  "train": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "eval": {
    "loss": [],
    "iou": [],
    "f1": []
  },
  "dbg_file_logging": "dbg_file_logging",
  "log_file": "<_io.TextIOWrapper name='logs/hpo_history_log/20230812_1837/hpo_log_DLV3+_ResNet50_alpha_0.75_lambda_weight_0.2.txt' mode='w' encoding='UTF-8'>",
  "github_logging": "github_logging",
  "github_log_file": "logs/hpo/DLV3+_ResNet50_alpha_0.75_lambda_weight_0.1.txt"
}
@20230814_0207 @20230814_0207 [EP 1/250] lr: 9.97904353425838e-05, took: 113.83s (avg: 113.83s), ETA: 0d:7h:48m:57s [TRAIN] loss: 13482.6084, iou: 0.0052, f1: 0.0103 [EVAL] loss: 14620.3613, iou: 0.0029, f1: 0.0057
@20230814_0208 @20230814_0208 [EP 2/250] lr: 9.958076407201588e-05, took: 61.70s (avg: 61.70s), ETA: 0d:4h:12m:8s [TRAIN] loss: 3198.5105, iou: 0.0458, f1: 0.0850 [EVAL] loss: 6503.4185, iou: 0.0060, f1: 0.0119
@20230814_0210 @20230814_0210 [EP 3/250] lr: 9.937196591636166e-05, took: 61.78s (avg: 61.78s), ETA: 0d:4h:11m:7s [TRAIN] loss: 1868.4543, iou: 0.0953, f1: 0.1699 [EVAL] loss: 4028.8523, iou: 0.0279, f1: 0.0537
@20230814_0211 @20230814_0211 [EP 4/250] lr: 9.916404087562114e-05, took: 61.79s (avg: 61.79s), ETA: 0d:4h:10m:6s [TRAIN] loss: 1370.8394, iou: 0.1366, f1: 0.2349 [EVAL] loss: 2218.3462, iou: 0.0823, f1: 0.1494
@20230814_0212 @20230814_0212 [EP 5/250] lr: 9.895698894979432e-05, took: 61.82s (avg: 61.82s), ETA: 0d:4h:9m:5s [TRAIN] loss: 1143.3301, iou: 0.1723, f1: 0.2876 [EVAL] loss: 1862.6240, iou: 0.1297, f1: 0.2268
@20230814_0213 @20230814_0213 [EP 6/250] lr: 9.875079558696598e-05, took: 61.68s (avg: 61.68s), ETA: 0d:4h:8m:4s [TRAIN] loss: 993.1100, iou: 0.2010, f1: 0.3278 [EVAL] loss: 1354.7606, iou: 0.1769, f1: 0.2980
@20230814_0215 @20230814_0215 [EP 7/250] lr: 9.854546806309372e-05, took: 62.64s (avg: 62.64s), ETA: 0d:4h:11m:6s [TRAIN] loss: 940.6050, iou: 0.2190, f1: 0.3524 [EVAL] loss: 2708.0979, iou: 0.0797, f1: 0.1442
@20230814_0216 @20230814_0216 [EP 8/250] lr: 9.834098455030471e-05, took: 61.69s (avg: 61.69s), ETA: 0d:4h:6m:2s [TRAIN] loss: 868.1707, iou: 0.2409, f1: 0.3813 [EVAL] loss: 2116.5554, iou: 0.1558, f1: 0.2673
@20230814_0217 @20230814_0217 [EP 9/250] lr: 9.813734504859895e-05, took: 61.95s (avg: 61.95s), ETA: 0d:4h:5m:1s [TRAIN] loss: 807.3761, iou: 0.2597, f1: 0.4051 [EVAL] loss: 2245.1460, iou: 0.1219, f1: 0.2130
@20230814_0218 @20230814_0218 [EP 10/250] lr: 9.793455683393404e-05, took: 61.74s (avg: 61.74s), ETA: 0d:4h:4m:0s [TRAIN] loss: 749.7478, iou: 0.2781, f1: 0.4280 [EVAL] loss: 2343.0544, iou: 0.1414, f1: 0.2451
@20230814_0219 @20230814_0219 [EP 11/250] lr: 9.773259807843715e-05, took: 61.79s (avg: 61.79s), ETA: 0d:4h:2m:59s [TRAIN] loss: 741.6735, iou: 0.2905, f1: 0.4434 [EVAL] loss: 2039.2861, iou: 0.2160, f1: 0.3523
@20230814_0220 @20230814_0220 [EP 12/250] lr: 9.753146878210828e-05, took: 61.80s (avg: 61.80s), ETA: 0d:4h:1m:58s [TRAIN] loss: 713.2036, iou: 0.3029, f1: 0.4581 [EVAL] loss: 2235.6445, iou: 0.1216, f1: 0.2130
@20230814_0221 @20230814_0221 [EP 13/250] lr: 9.733116894494742e-05, took: 61.72s (avg: 61.72s), ETA: 0d:4h:0m:57s [TRAIN] loss: 663.5673, iou: 0.3189, f1: 0.4767 [EVAL] loss: 1122.9840, iou: 0.2390, f1: 0.3825
@20230814_0223 @20230814_0223 [EP 14/250] lr: 9.713169129099697e-05, took: 61.67s (avg: 61.67s), ETA: 0d:3h:59m:56s [TRAIN] loss: 649.2695, iou: 0.3301, f1: 0.4896 [EVAL] loss: 1673.0216, iou: 0.1651, f1: 0.2797
@20230814_0224 @20230814_0224 [EP 15/250] lr: 9.69330285442993e-05, took: 61.77s (avg: 61.77s), ETA: 0d:3h:58m:55s [TRAIN] loss: 635.1790, iou: 0.3399, f1: 0.5008 [EVAL] loss: 1313.0498, iou: 0.2385, f1: 0.3812
@20230814_0225 @20230814_0225 [EP 16/250] lr: 9.673518070485443e-05, took: 61.83s (avg: 61.83s), ETA: 0d:3h:57m:54s [TRAIN] loss: 621.5335, iou: 0.3512, f1: 0.5133 [EVAL] loss: 1452.3029, iou: 0.2294, f1: 0.3687
@20230814_0226 @20230814_0226 [EP 17/250] lr: 9.653813322074711e-05, took: 62.72s (avg: 62.72s), ETA: 0d:4h:0m:46s [TRAIN] loss: 597.6414, iou: 0.3605, f1: 0.5234 [EVAL] loss: 1394.1375, iou: 0.2226, f1: 0.3597
@20230814_0227 @20230814_0227 [EP 18/250] lr: 9.634190064389259e-05, took: 61.79s (avg: 61.79s), ETA: 0d:3h:55m:52s [TRAIN] loss: 621.2526, iou: 0.3694, f1: 0.5333 [EVAL] loss: 1269.9166, iou: 0.2549, f1: 0.4023
@20230814_0228 @20230814_0228 [EP 19/250] lr: 9.614645387046039e-05, took: 61.89s (avg: 61.89s), ETA: 0d:3h:54m:51s [TRAIN] loss: 579.5314, iou: 0.3823, f1: 0.5469 [EVAL] loss: 1332.1641, iou: 0.2578, f1: 0.4059
@20230814_0229 @20230814_0229 [EP 20/250] lr: 9.595179290045053e-05, took: 61.69s (avg: 61.69s), ETA: 0d:3h:53m:50s [TRAIN] loss: 567.1697, iou: 0.3917, f1: 0.5567 [EVAL] loss: 1531.0725, iou: 0.2594, f1: 0.4073
