

** [alpha] Launch Training on 20230703_1359
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": [
    0
  ],
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "lr_scheduling": "exp",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230703_1351.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230703_1351.txt",
  "exp_comment": "* New consolidate DB used (0703 version) - Athylene Gas Images near SongKang Dong\n* temperature_shift value changed from 15\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_ResNet50_NEWDB.yaml"
}
@20230703_1403 [EP 1/500] lr: 0.009999999776482582, took: 0h:3m:55s, ETA: 1d:8h:34m:25s [TRAIN] loss: 0.3447, accu-50: 16.94%, iou: 50.98%, f1: 65.53% 239.03ms [EVAL] [261/261 step] loss: 0.7259, accu-50: 81.23%, iou: 16.69%, f1: 27.41%, 68.50ms
@20230703_1407 [EP 2/500] lr: 0.009817931801080704, took: 0h:3m:36s, ETA: 1d:5h:52m:48s [TRAIN] loss: 0.2051, accu-50: 79.88%, iou: 66.56%, f1: 79.49% 211.02ms [EVAL] [261/261 step] loss: 0.9936, accu-50: 97.04%, iou: 0.33%, f1: 0.64%, 63.17ms
@20230703_1410 [EP 3/500] lr: 0.0097281439229846, took: 0h:3m:30s, ETA: 1d:4h:59m:30s [TRAIN] loss: 0.1613, accu-50: 83.79%, iou: 72.44%, f1: 83.87% 211.15ms [EVAL] [261/261 step] loss: 0.9086, accu-50: 94.63%, iou: 5.12%, f1: 9.14%, 63.31ms
@20230703_1413 [EP 4/500] lr: 0.009639178402721882, took: 0h:3m:27s, ETA: 1d:4h:31m:12s [TRAIN] loss: 0.1433, accu-50: 85.91%, iou: 75.10%, f1: 85.67% 211.01ms [EVAL] [261/261 step] loss: 0.8759, accu-50: 92.69%, iou: 7.00%, f1: 12.41%, 63.05ms
@20230703_1417 [EP 5/500] lr: 0.009551024995744228, took: 0h:3m:26s, ETA: 1d:4h:19m:30s [TRAIN] loss: 0.1288, accu-50: 87.13%, iou: 77.33%, f1: 87.12% 211.05ms [EVAL] [261/261 step] loss: 0.8737, accu-50: 72.96%, iou: 7.12%, f1: 12.63%, 63.19ms
@20230703_1420 [EP 6/500] lr: 0.009463679045438766, took: 0h:3m:26s, ETA: 1d:4h:16m:4s [TRAIN] loss: 0.1210, accu-50: 88.19%, iou: 78.52%, f1: 87.90% 211.09ms [EVAL] [261/261 step] loss: 0.6264, accu-50: 92.68%, iou: 23.83%, f1: 37.36%, 63.37ms
@20230703_1423 [EP 7/500] lr: 0.00937713123857975, took: 0h:3m:25s, ETA: 1d:4h:4m:25s [TRAIN] loss: 0.1150, accu-50: 88.62%, iou: 79.48%, f1: 88.50% 211.03ms [EVAL] [261/261 step] loss: 0.7666, accu-50: 85.51%, iou: 14.03%, f1: 23.34%, 63.45ms
@20230703_1427 [EP 8/500] lr: 0.009291375055909157, took: 0h:3m:24s, ETA: 1d:3h:52m:48s [TRAIN] loss: 0.1120, accu-50: 88.35%, iou: 80.00%, f1: 88.80% 210.98ms [EVAL] [261/261 step] loss: 0.9054, accu-50: 96.70%, iou: 5.28%, f1: 9.46%, 63.45ms
@20230703_1430 [EP 9/500] lr: 0.00920640304684639, took: 0h:3m:24s, ETA: 1d:3h:49m:24s [TRAIN] loss: 0.1006, accu-50: 90.25%, iou: 81.81%, f1: 89.94% 211.02ms [EVAL] [261/261 step] loss: 0.9172, accu-50: 91.50%, iou: 4.74%, f1: 8.28%, 63.47ms
@20230703_1433 [EP 10/500] lr: 0.009122208692133427, took: 0h:3m:23s, ETA: 1d:3h:37m:50s [TRAIN] loss: 0.0979, accu-50: 90.53%, iou: 82.25%, f1: 90.21% 210.98ms [EVAL] [261/261 step] loss: 0.7846, accu-50: 91.40%, iou: 12.67%, f1: 21.54%, 63.38ms
@20230703_1437 [EP 11/500] lr: 0.009038783609867096, took: 0h:3m:23s, ETA: 1d:3h:34m:27s [TRAIN] loss: 0.0953, accu-50: 90.80%, iou: 82.68%, f1: 90.47% 210.87ms [EVAL] [261/261 step] loss: 0.8845, accu-50: 94.19%, iou: 6.44%, f1: 11.55%, 63.42ms
@20230703_1440 [EP 12/500] lr: 0.00895612221211195, took: 0h:3m:23s, ETA: 1d:3h:31m:4s [TRAIN] loss: 0.0918, accu-50: 91.36%, iou: 83.25%, f1: 90.82% 210.90ms [EVAL] [261/261 step] loss: 0.1888, accu-50: 87.16%, iou: 68.79%, f1: 81.12%, 63.45ms
@20230703_1444 [EP 13/500] lr: 0.008874216116964817, took: 0h:3m:23s, ETA: 1d:3h:27m:41s [TRAIN] loss: 0.0893, accu-50: 91.13%, iou: 83.69%, f1: 91.07% 211.19ms [EVAL] [261/261 step] loss: 0.2469, accu-50: 85.61%, iou: 60.99%, f1: 75.31%, 63.41ms
@20230703_1447 [EP 14/500] lr: 0.008793058805167675, took: 0h:3m:23s, ETA: 1d:3h:24m:18s [TRAIN] loss: 0.0864, accu-50: 91.79%, iou: 84.17%, f1: 91.36% 211.20ms [EVAL] [261/261 step] loss: 0.2295, accu-50: 88.73%, iou: 63.13%, f1: 77.05%, 63.51ms
@20230703_1450 [EP 15/500] lr: 0.008712644688785076, took: 0h:3m:22s, ETA: 1d:3h:12m:50s [TRAIN] loss: 0.0839, accu-50: 91.59%, iou: 84.59%, f1: 91.61% 211.26ms [EVAL] [261/261 step] loss: 0.4520, accu-50: 94.34%, iou: 38.76%, f1: 54.80%, 63.52ms
@20230703_1454 [EP 16/500] lr: 0.008632965385913849, took: 0h:3m:22s, ETA: 1d:3h:9m:28s [TRAIN] loss: 0.0806, accu-50: 92.30%, iou: 85.15%, f1: 91.94% 211.23ms [EVAL] [261/261 step] loss: 0.3392, accu-50: 90.36%, iou: 50.05%, f1: 66.08%, 63.52ms
@20230703_1457 [EP 17/500] lr: 0.008554015308618546, took: 0h:3m:22s, ETA: 1d:3h:6m:6s [TRAIN] loss: 0.0817, accu-50: 92.24%, iou: 84.95%, f1: 91.83% 211.08ms [EVAL] [261/261 step] loss: 0.8194, accu-50: 97.70%, iou: 10.45%, f1: 18.06%, 63.60ms
@20230703_1500 [EP 18/500] lr: 0.008475786074995995, took: 0h:3m:22s, ETA: 1d:3h:2m:44s [TRAIN] loss: 0.0782, accu-50: 92.30%, iou: 85.55%, f1: 92.18% 211.15ms [EVAL] [261/261 step] loss: 0.1482, accu-50: 91.61%, iou: 74.45%, f1: 85.18%, 63.48ms
@20230703_1504 [EP 19/500] lr: 0.008398273028433323, took: 0h:3m:22s, ETA: 1d:2h:59m:22s [TRAIN] loss: 0.0762, accu-50: 92.75%, iou: 85.89%, f1: 92.38% 211.06ms [EVAL] [261/261 step] loss: 0.1544, accu-50: 94.43%, iou: 73.44%, f1: 84.56%, 63.44ms
@20230703_1507 [EP 20/500] lr: 0.008321468718349934, took: 0h:3m:22s, ETA: 1d:2h:56m:0s [TRAIN] loss: 0.0732, accu-50: 92.63%, iou: 86.40%, f1: 92.68% 211.01ms [EVAL] [261/261 step] loss: 0.8048, accu-50: 97.97%, iou: 11.15%, f1: 19.52%, 63.51ms
@20230703_1510 [EP 21/500] lr: 0.008245367556810379, took: 0h:3m:22s, ETA: 1d:2h:52m:38s [TRAIN] loss: 0.0726, accu-50: 92.85%, iou: 86.50%, f1: 92.74% 211.09ms [EVAL] [261/261 step] loss: 0.2978, accu-50: 91.88%, iou: 54.80%, f1: 70.22%, 63.50ms
@20230703_1514 [EP 22/500] lr: 0.008169961161911488, took: 0h:3m:22s, ETA: 1d:2h:49m:16s [TRAIN] loss: 0.0719, accu-50: 92.92%, iou: 86.63%, f1: 92.81% 211.09ms [EVAL] [261/261 step] loss: 0.2995, accu-50: 90.61%, iou: 54.51%, f1: 70.05%, 63.37ms
@20230703_1517 [EP 23/500] lr: 0.008095244877040386, took: 0h:3m:21s, ETA: 1d:2h:37m:57s [TRAIN] loss: 0.0695, accu-50: 93.20%, iou: 87.05%, f1: 93.05% 211.10ms [EVAL] [261/261 step] loss: 0.2926, accu-50: 96.82%, iou: 55.17%, f1: 70.74%, 63.60ms
@20230703_1521 [EP 24/500] lr: 0.008021212182939053, took: 0h:3m:22s, ETA: 1d:2h:42m:32s [TRAIN] loss: 0.0688, accu-50: 93.17%, iou: 87.16%, f1: 93.12% 211.12ms [EVAL] [261/261 step] loss: 0.1301, accu-50: 93.08%, iou: 77.22%, f1: 86.99%, 63.45ms
@20230703_1524 [EP 25/500] lr: 0.007947856560349464, took: 0h:3m:22s, ETA: 1d:2h:39m:10s [TRAIN] loss: 0.0671, accu-50: 93.39%, iou: 87.46%, f1: 93.29% 211.12ms [EVAL] [261/261 step] loss: 0.1068, accu-50: 95.77%, iou: 80.78%, f1: 89.32%, 63.52ms
@20230703_1527 [EP 26/500] lr: 0.0078751714900136, took: 0h:3m:22s, ETA: 1d:2h:35m:48s [TRAIN] loss: 0.0665, accu-50: 93.53%, iou: 87.56%, f1: 93.35% 211.11ms [EVAL] [261/261 step] loss: 0.3075, accu-50: 95.57%, iou: 53.64%, f1: 69.25%, 63.59ms
@20230703_1531 [EP 27/500] lr: 0.0078031509183347225, took: 0h:3m:22s, ETA: 1d:2h:32m:26s [TRAIN] loss: 0.0651, accu-50: 93.62%, iou: 87.81%, f1: 93.49% 211.07ms [EVAL] [261/261 step] loss: 0.0966, accu-50: 96.07%, iou: 82.44%, f1: 90.34%, 63.58ms
@20230703_1534 [EP 28/500] lr: 0.007731789257377386, took: 0h:3m:22s, ETA: 1d:2h:29m:4s [TRAIN] loss: 0.0645, accu-50: 93.65%, iou: 87.91%, f1: 93.55% 210.92ms [EVAL] [261/261 step] loss: 0.0929, accu-50: 95.54%, iou: 83.07%, f1: 90.71%, 63.34ms
@20230703_1538 [EP 29/500] lr: 0.007661079987883568, took: 0h:3m:22s, ETA: 1d:2h:25m:42s [TRAIN] loss: 0.0647, accu-50: 93.81%, iou: 87.88%, f1: 93.53% 210.94ms [EVAL] [261/261 step] loss: 0.1552, accu-50: 87.73%, iou: 73.39%, f1: 84.48%, 63.47ms
@20230703_1541 [EP 30/500] lr: 0.00759101752191782, took: 0h:3m:22s, ETA: 1d:2h:22m:20s [TRAIN] loss: 0.0624, accu-50: 93.89%, iou: 88.29%, f1: 93.76% 210.99ms [EVAL] [261/261 step] loss: 0.1579, accu-50: 96.42%, iou: 72.90%, f1: 84.21%, 63.28ms
@20230703_1544 [EP 31/500] lr: 0.007521595805883408, took: 0h:3m:22s, ETA: 1d:2h:18m:58s [TRAIN] loss: 0.0623, accu-50: 93.83%, iou: 88.31%, f1: 93.77% 210.89ms [EVAL] [261/261 step] loss: 0.1101, accu-50: 95.92%, iou: 80.24%, f1: 88.99%, 63.39ms
@20230703_1548 [EP 32/500] lr: 0.007452809251844883, took: 0h:3m:22s, ETA: 1d:2h:15m:36s [TRAIN] loss: 0.0608, accu-50: 94.03%, iou: 88.56%, f1: 93.92% 210.85ms [EVAL] [261/261 step] loss: 0.1164, accu-50: 90.82%, iou: 79.33%, f1: 88.36%, 63.53ms
@20230703_1551 [EP 33/500] lr: 0.007384651340544224, took: 0h:3m:22s, ETA: 1d:2h:12m:14s [TRAIN] loss: 0.0607, accu-50: 94.04%, iou: 88.58%, f1: 93.93% 210.89ms [EVAL] [261/261 step] loss: 0.1424, accu-50: 95.30%, iou: 75.34%, f1: 85.76%, 63.62ms
@20230703_1554 [EP 34/500] lr: 0.00731711694970727, took: 0h:3m:22s, ETA: 1d:2h:8m:52s [TRAIN] loss: 0.0595, accu-50: 94.09%, iou: 88.79%, f1: 94.05% 210.87ms [EVAL] [261/261 step] loss: 0.0982, accu-50: 89.25%, iou: 82.20%, f1: 90.18%, 63.33ms
@20230703_1558 [EP 35/500] lr: 0.007250200025737286, took: 0h:3m:22s, ETA: 1d:2h:5m:30s [TRAIN] loss: 0.0593, accu-50: 94.21%, iou: 88.84%, f1: 94.07% 210.90ms [EVAL] [261/261 step] loss: 0.1041, accu-50: 94.11%, iou: 81.23%, f1: 89.59%, 63.56ms
@20230703_1601 [EP 36/500] lr: 0.007183895446360111, took: 0h:3m:22s, ETA: 1d:2h:2m:8s [TRAIN] loss: 0.0591, accu-50: 94.16%, iou: 88.86%, f1: 94.09% 210.92ms [EVAL] [261/261 step] loss: 0.0890, accu-50: 91.98%, iou: 83.74%, f1: 91.10%, 63.38ms
@20230703_1605 [EP 37/500] lr: 0.0071181971579790115, took: 0h:3m:22s, ETA: 1d:1h:58m:46s [TRAIN] loss: 0.0608, accu-50: 94.26%, iou: 88.63%, f1: 93.92% 210.93ms [EVAL] [261/261 step] loss: 0.0886, accu-50: 90.43%, iou: 83.78%, f1: 91.14%, 63.36ms
@20230703_1608 [EP 38/500] lr: 0.0070530991069972515, took: 0h:3m:22s, ETA: 1d:1h:55m:24s [TRAIN] loss: 0.0576, accu-50: 94.23%, iou: 89.14%, f1: 94.24% 210.89ms [EVAL] [261/261 step] loss: 0.1004, accu-50: 93.90%, iou: 81.84%, f1: 89.96%, 63.28ms
@20230703_1611 [EP 39/500] lr: 0.006988597102463245, took: 0h:3m:21s, ETA: 1d:1h:44m:21s [TRAIN] loss: 0.0572, accu-50: 94.31%, iou: 89.21%, f1: 94.28% 210.92ms [EVAL] [261/261 step] loss: 0.1002, accu-50: 93.86%, iou: 81.95%, f1: 89.98%, 63.50ms
