@20230811_2022 @20230811_2022 [EP 1/300] lr: 0.0007867820095270872, took: 113.99s (avg: 113.99s), ETA: 0d:9h:23m:7s [TRAIN] loss: 8828.2529, iou: 0.0708, f1: 0.1228 [EVAL] loss: 5300.3594, iou: 0.0027, f1: 0.0055
@20230811_2023 @20230811_2023 [EP 2/300] lr: 0.0007739338907413185, took: 61.34s (avg: 61.34s), ETA: 0d:5h:2m:58s [TRAIN] loss: 1324.6257, iou: 0.2558, f1: 0.4005 [EVAL] loss: 4941.0820, iou: 0.0019, f1: 0.0038
@20230811_2024 @20230811_2024 [EP 3/300] lr: 0.0007614986388944089, took: 61.45s (avg: 61.45s), ETA: 0d:5h:1m:57s [TRAIN] loss: 957.4243, iou: 0.3356, f1: 0.4961 [EVAL] loss: 4930.5298, iou: 0.0020, f1: 0.0040
@20230811_2025 @20230811_2025 [EP 4/300] lr: 0.0007494565797969699, took: 61.62s (avg: 61.62s), ETA: 0d:5h:0m:56s [TRAIN] loss: 825.7787, iou: 0.3753, f1: 0.5396 [EVAL] loss: 4918.2510, iou: 0.0045, f1: 0.0089
@20230811_2027 @20230811_2027 [EP 5/300] lr: 0.0007377894944511354, took: 61.50s (avg: 61.50s), ETA: 0d:4h:59m:55s [TRAIN] loss: 795.4554, iou: 0.3948, f1: 0.5600 [EVAL] loss: 4175.3784, iou: 0.0544, f1: 0.1001
@20230811_2028 @20230811_2028 [EP 6/300] lr: 0.000726480211596936, took: 61.45s (avg: 61.45s), ETA: 0d:4h:58m:54s [TRAIN] loss: 762.1281, iou: 0.4140, f1: 0.5799 [EVAL] loss: 3001.8367, iou: 0.1659, f1: 0.2801
@20230811_2029 @20230811_2029 [EP 7/300] lr: 0.0007155122584663332, took: 61.46s (avg: 61.46s), ETA: 0d:4h:57m:53s [TRAIN] loss: 641.0656, iou: 0.4427, f1: 0.6080 [EVAL] loss: 1301.3678, iou: 0.3648, f1: 0.5322
@20230811_2030 @20230811_2030 [EP 8/300] lr: 0.0007048706174828112, took: 61.52s (avg: 61.52s), ETA: 0d:4h:56m:52s [TRAIN] loss: 612.6241, iou: 0.4586, f1: 0.6235 [EVAL] loss: 1262.6598, iou: 0.3677, f1: 0.5353
@20230811_2032 @20230811_2032 [EP 9/300] lr: 0.0006945409113541245, took: 61.41s (avg: 61.41s), ETA: 0d:4h:55m:51s [TRAIN] loss: 619.6777, iou: 0.4680, f1: 0.6323 [EVAL] loss: 1142.2546, iou: 0.3993, f1: 0.5673
@20230811_2033 @20230811_2033 [EP 10/300] lr: 0.0006845095194876194, took: 61.52s (avg: 61.52s), ETA: 0d:4h:54m:50s [TRAIN] loss: 594.0419, iou: 0.4833, f1: 0.6465 [EVAL] loss: 1033.8635, iou: 0.4835, f1: 0.6498
@20230811_2034 @20230811_2034 [EP 11/300] lr: 0.0006747638108208776, took: 61.48s (avg: 61.48s), ETA: 0d:4h:53m:49s [TRAIN] loss: 578.9309, iou: 0.4954, f1: 0.6577 [EVAL] loss: 1559.0295, iou: 0.4171, f1: 0.5854
@20230811_2035 @20230811_2035 [EP 12/300] lr: 0.000665291678160429, took: 61.44s (avg: 61.44s), ETA: 0d:4h:52m:48s [TRAIN] loss: 563.0545, iou: 0.5060, f1: 0.6673 [EVAL] loss: 1026.6479, iou: 0.4876, f1: 0.6533
@20230811_2037 @20230811_2037 [EP 13/300] lr: 0.0006560818874277174, took: 61.58s (avg: 61.58s), ETA: 0d:4h:51m:47s [TRAIN] loss: 551.1427, iou: 0.5146, f1: 0.6749 [EVAL] loss: 912.2939, iou: 0.5215, f1: 0.6840
