

** [alpha] Launch Training on 20230626_1405
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "DLV3+",
  "baseModel": "EffNetV2",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 99,
  "resumeWeight": "./model_weights/EffNet/20230613_1524_DLV3PP_EffNet_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 5,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "cos",
  "lr": 0.01,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/train_base_db_20230523.txt",
  "eval_annotation": "./Annotations/eval_base_db_20230523.txt",
  "exp_comment": "* Augmentation Reinforced\n  - Image Blur Feature Added \n* New Exp on Cos Lr\n  - Due to frequent network error, there was unexpected termination over the last two exp. \n  - This makes hard to observe the behavior of cos annealing lr scheduling.\n  - So, this time, we decided to start it over gain, \n  -  Also, we change the n_cycles from num_epochs/100 to 2.5 (hard coded value).\n  - n_cycles changed from 2.5 to 2\n",
  "isCompleted": false,
  "config": "Config/TRAIN_DLV3_EffNetV2.yaml"
}
@20230626_1413 [EP 1/500] lr: 0.009999999776482582, took: 0h:7m:36s, ETA: 2d:15h:12m:24s [TRAIN] loss: 0.4726, accu-50: 9.80%, iou: 39.45%, f1: 52.74% 252.94ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 60.20ms
@20230626_1419 [EP 2/500] lr: 0.009998421184718609, took: 0h:7m:1s, ETA: 2d:10h:14m:18s [TRAIN] loss: 0.2533, accu-50: 77.13%, iou: 61.05%, f1: 74.67% 213.45ms [EVAL] [414/414 step] loss: 1.0000, accu-50: 0.00%, iou: 0.00%, f1: 0.00%, 55.67ms
@20230626_1427 [EP 3/500] lr: 0.009996447712182999, took: 0h:7m:13s, ETA: 2d:11h:46m:41s [TRAIN] loss: 0.2255, accu-50: 80.40%, iou: 64.77%, f1: 77.45% 213.44ms [EVAL] [414/414 step] loss: 0.9990, accu-50: 75.94%, iou: 0.05%, f1: 0.10%, 55.52ms
@20230626_1435 [EP 4/500] lr: 0.009993684478104115, took: 0h:7m:19s, ETA: 2d:12h:29m:4s [TRAIN] loss: 0.2131, accu-50: 82.12%, iou: 66.52%, f1: 78.69% 213.96ms [EVAL] [414/414 step] loss: 0.8643, accu-50: 60.20%, iou: 7.77%, f1: 13.57%, 56.03ms
@20230626_1442 [EP 5/500] lr: 0.009990133345127106, took: 0h:7m:22s, ETA: 2d:12h:46m:30s [TRAIN] loss: 0.2047, accu-50: 83.08%, iou: 67.72%, f1: 79.53% 213.96ms [EVAL] [414/414 step] loss: 0.7546, accu-50: 56.74%, iou: 14.64%, f1: 24.54%, 56.45ms
@20230626_1450 [EP 6/500] lr: 0.009985794313251972, took: 0h:7m:25s, ETA: 2d:13h:3m:50s [TRAIN] loss: 0.1981, accu-50: 83.79%, iou: 68.67%, f1: 80.19% 213.98ms [EVAL] [414/414 step] loss: 0.4566, accu-50: 67.89%, iou: 38.12%, f1: 54.34%, 55.50ms
@20230626_1456 [EP 7/500] lr: 0.009980668313801289, took: 0h:7m:17s, ETA: 2d:11h:50m:41s [TRAIN] loss: 0.1888, accu-50: 83.87%, iou: 69.61%, f1: 81.12% 214.02ms [EVAL] [414/414 step] loss: 0.4822, accu-50: 61.28%, iou: 35.69%, f1: 51.78%, 55.76ms
@20230626_1504 [EP 8/500] lr: 0.009974755346775055, took: 0h:7m:19s, ETA: 2d:11h:59m:48s [TRAIN] loss: 0.1634, accu-50: 84.12%, iou: 72.43%, f1: 83.66% 214.04ms [EVAL] [414/414 step] loss: 0.3356, accu-50: 62.32%, iou: 50.28%, f1: 66.44%, 55.61ms
@20230626_1511 [EP 9/500] lr: 0.009968056343495846, took: 0h:7m:21s, ETA: 2d:12h:8m:51s [TRAIN] loss: 0.1503, accu-50: 84.72%, iou: 74.17%, f1: 84.97% 213.85ms [EVAL] [414/414 step] loss: 0.3250, accu-50: 68.15%, iou: 51.53%, f1: 67.50%, 55.96ms
@20230626_1519 [EP 10/500] lr: 0.00996057316660881, took: 0h:7m:22s, ETA: 2d:12h:9m:40s [TRAIN] loss: 0.1451, accu-50: 85.31%, iou: 74.93%, f1: 85.49% 213.94ms [EVAL] [414/414 step] loss: 0.2459, accu-50: 72.48%, iou: 60.92%, f1: 75.41%, 55.48ms
@20230626_1526 [EP 11/500] lr: 0.009952306747436523, took: 0h:7m:17s, ETA: 2d:11h:21m:33s [TRAIN] loss: 0.1397, accu-50: 85.84%, iou: 75.71%, f1: 86.03% 214.09ms [EVAL] [414/414 step] loss: 0.2679, accu-50: 65.65%, iou: 58.14%, f1: 73.21%, 55.70ms
