

** [alpha] Launch Training on 20230831_0528
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "plot": true,
  "architecture": "DLV3+",
  "baseModel": "ResNet50",
  "gpuIDs": "0,1,2,3",
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 14,
  "optimizer": "Adam",
  "loss": "combined_loss",
  "weight_dice": 0.202208082367688,
  "alpha": 0.687479739608844,
  "gamma": 3.462163271866709,
  "early_stop": {
    "enabled": true,
    "patience": 30
  },
  "plateau": {
    "factor": 0.5,
    "patience": 10,
    "min_lr": 5e-06
  },
  "warmup_epochs": 15,
  "lr_scheduling": "exp",
  "lr": 8.67276e-05,
  "stepwise_scheduling": true,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230808_1942.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230808_1942.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (20230808_1942 version) - Updated DB \n* 4 GPUs are used to train models\n* It's observed that initLr = 0.008 (stepwise) doesn't show good convergence. \n* So, new experiments on LR have been initiated. \n*   1st (0809_1052):    lr  0.004 : Doesn't seem to work\n*   2nd (0809_1202):    lr  0.001 \n* To improve the accuracy, we perform experiments on loss functions:\n*    We compare: dice loss only vs combined_loss (dice_loss (.7) + focal loss (.3) )\n*                For focal loss alpha of 0.25 and gamma of 2.0, lambda_weight of .3 are used \n*      lr (0810_1613) : 0.001\n*      lr (0810_1711): 0.0008\n*\n*      0811_1027: lambda_weight = .7\n*\n*      0811_16xx: equal loss dice_loss + focal_loss + mse\n",
  "numGPUs": 4,
  "finalEPOCH": 0,
  "isCompleted": false,
  "config": "./Config/TRAIN_DLV3_ResNet50_NEWDB_20230808.yaml",
  "decay_per_step_factor": 3,
  "numTrainDB": 11830,
  "numEvalDB": 3600
}
@20230831_0530 @20230831_0530 [EP 1/500] lr: 8.223444456234574e-05, took: 115.63s (avg: 115.63s), ETA: 0d:15h:56m:25s [TRAIN] loss: 0.1474, iou: 0.1772, f1: 0.2761 [EVAL] loss: 0.2088, iou: 0.0019, f1: 0.0039
@20230831_0531 @20230831_0531 [EP 2/500] lr: 7.816557626938447e-05, took: 61.06s (avg: 61.06s), ETA: 0d:8h:26m:18s [TRAIN] loss: 0.0548, iou: 0.5847, f1: 0.7326 [EVAL] loss: 0.2145, iou: 0.0003, f1: 0.0006
@20230831_0532 @20230831_0532 [EP 3/500] lr: 7.448038377333432e-05, took: 61.10s (avg: 61.10s), ETA: 0d:8h:25m:17s [TRAIN] loss: 0.0332, iou: 0.7247, f1: 0.8391 [EVAL] loss: 0.2160, iou: 0.0001, f1: 0.0002
@20230831_0533 @20230831_0533 [EP 4/500] lr: 7.112701860023662e-05, took: 61.46s (avg: 61.46s), ETA: 0d:8h:24m:16s [TRAIN] loss: 0.0261, iou: 0.7774, f1: 0.8741 [EVAL] loss: 0.2133, iou: 0.0078, f1: 0.0150
@20230831_0534 @20230831_0534 [EP 5/500] lr: 6.80626108078286e-05, took: 61.22s (avg: 61.22s), ETA: 0d:8h:23m:15s [TRAIN] loss: 0.0232, iou: 0.8003, f1: 0.8885 [EVAL] loss: 0.1720, iou: 0.1166, f1: 0.2037
@20230831_0535 @20230831_0535 [EP 6/500] lr: 6.525134813273326e-05, took: 61.18s (avg: 61.18s), ETA: 0d:8h:22m:14s [TRAIN] loss: 0.0200, iou: 0.8251, f1: 0.9038 [EVAL] loss: 0.0826, iou: 0.4489, f1: 0.6168
@20230831_0536 @20230831_0536 [EP 7/500] lr: 6.266310083447024e-05, took: 61.23s (avg: 61.23s), ETA: 0d:8h:21m:13s [TRAIN] loss: 0.0195, iou: 0.8294, f1: 0.9063 [EVAL] loss: 0.0650, iou: 0.5408, f1: 0.6992
@20230831_0537 @20230831_0537 [EP 8/500] lr: 6.027235576766543e-05, took: 61.32s (avg: 61.32s), ETA: 0d:8h:20m:12s [TRAIN] loss: 0.0188, iou: 0.8354, f1: 0.9099 [EVAL] loss: 0.0524, iou: 0.6117, f1: 0.7573
@20230831_0538 @20230831_0538 [EP 9/500] lr: 5.8057328715221956e-05, took: 61.54s (avg: 61.54s), ETA: 0d:8h:19m:11s [TRAIN] loss: 0.0178, iou: 0.8434, f1: 0.9147 [EVAL] loss: 0.0382, iou: 0.6995, f1: 0.8218
@20230831_0539 @20230831_0539 [EP 10/500] lr: 5.5999335017986596e-05, took: 61.19s (avg: 61.19s), ETA: 0d:8h:18m:10s [TRAIN] loss: 0.0172, iou: 0.8482, f1: 0.9176 [EVAL] loss: 0.0453, iou: 0.6561, f1: 0.7903
@20230831_0540 @20230831_0540 [EP 11/500] lr: 5.408225115388632e-05, took: 61.24s (avg: 61.24s), ETA: 0d:8h:17m:9s [TRAIN] loss: 0.0164, iou: 0.8547, f1: 0.9214 [EVAL] loss: 0.0496, iou: 0.6306, f1: 0.7713
